Year,Date,Time,City,NumberSpectators,Weather,HomeTeam,AwayTeam,HomeFPI,AwayFPI,HomeOdds,AwayOdds,HomeScore,AwayScore,Winner,HomeResult
1950,1950-10-16,17:00,Palo Alto,,Cloudy,Team H,Team A,59.62,73.8,2.62,2.68,7,14,Team A,-1
1950,1950-09-16,15:00,Palo Alto,42658.0,Cloudy,Team A,Team G,75.02,63.6,2.69,1.75,10,8,Team A,1
1950,1950-09-06,18:00,Hill Valley,35942.0,Cloudy,Team B,Team N,56.34,44.47,1.86,1.61,0,4,Team N,-1
1950,1950-12-06,20:00,San Francisco,,Mist,Team G,Team B,59.98,63.05,1.21,2.7,0,0,Draw,0
1950,1950-11-21,12:00,Sacramento,19747.0,Cloudy,Team B,Team N,74.02,49.98,3.25,1.53,14,10,Team B,1
1950,1950-10-17,20:00,Oakland,,Cloudy,Team J,Team B,74.39,54.44,3.3,2.81,9,7,Team J,1
1950,1950-09-05,20:00,Stockton,36118.0,Cloudy,Team B,Team A,41.03,78.21,1.73,1.24,1,0,Team B,1
1950,1950-12-02,16:00,Berkeley,,Mist,Team O,Team B,86.02,71.11,2.21,2.7,10,1,Team O,1
1950,1950-10-18,14:00,Santa Clara,18267.0,Sunny,Team B,Team E,76.36,89.85,1.57,3.07,13,15,Team E,-1
1950,1950-11-08,21:00,Oakland,,Cloudy,Team D,Team B,40.55,75.04,1.82,1.24,15,26,Team B,-1
1950,1950-10-28,16:00,Hill Valley,28394.0,Sunny,Team B,Team P,42.69,43.44,3.15,3.06,0,0,Draw,0
1950,1950-11-08,13:00,Palo Alto,20556.0,Cloudy,Team M,Team B,43.36,59.45,3.4,2.79,7,0,Team M,1
1950,1950-10-22,13:00,San Francisco,20890.0,Rain,Team B,Team J,80.44,70.11,2.25,2.88,8,5,Team B,1
1950,1950-12-30,21:00,Oakland,47740.0,Sunny,Team C,Team B,51.47,70.34,1.91,2.01,7,7,Draw,0
1950,1950-09-22,18:00,Hill Valley,,Cloudy,Team B,Team O,88.56,58.24,2.11,1.97,26,10,Team B,1
1950,1950-12-17,20:00,San Francisco,38777.0,Sunny,Team J,Team B,58.66,59.07,3.4,2.57,0,3,Team B,-1
1950,1950-10-21,20:00,San Francisco,27627.0,Rain,Team B,Team G,61.57,87.93,1.43,1.29,0,13,Team G,-1
1950,1950-11-13,17:00,Sacramento,25792.0,Sunny,Team H,Team B,40.46,89.9,1.23,2.94,0,6,Team B,-1
1950,1950-11-21,21:00,Stockton,25433.0,Rain,Team B,Team C,89.1,69.7,1.92,3.5,14,12,Team B,1
1950,1950-09-12,16:00,Fresno,28016.0,Sunny,Team C,Team K,82.35,88.53,2.59,3.08,6,0,Team C,1
1950,1950-12-25,17:00,Hill Valley,,Mist,Team K,Team C,55.75,69.5,1.33,1.58,3,0,Team K,1
1950,1950-12-20,20:00,Santa Clara,19612.0,Rain,Team C,Team D,60.15,62.81,2.03,2.59,2,2,Draw,0
1950,1950-09-02,19:00,Hill Valley,40483.0,Sunny,Team A,Team C,64.41,85.97,3.49,2.48,4,7,Team C,-1
1950,1950-10-16,21:00,Berkeley,34159.0,Sunny,Team C,Team M,85.21,57.41,2.29,3.5,2,12,Team M,-1
1950,1950-09-22,18:00,Hill Valley,31541.0,Cloudy,Team K,Team C,83.67,40.98,2.06,2.55,8,6,Team K,1
1950,1950-11-03,20:00,Berkeley,43531.0,Mist,Team C,Team K,78.47,55.03,1.87,1.45,20,9,Team C,1
1950,1950-12-03,12:00,San Jose,,Sunny,Team I,Team C,69.19,61.84,2.68,2.16,11,0,Team I,1
1950,1950-12-11,15:00,Fresno,,Rain,Team C,Team G,52.49,48.74,3.12,3.28,0,0,Draw,0
1950,1950-09-05,15:00,Stockton,,Sunny,Team O,Team C,85.96,87.14,3.2,3.45,9,18,Team C,-1
1950,1950-10-22,13:00,Sacramento,36457.0,Cloudy,Team C,Team L,71.17,55.88,3.33,3.06,11,6,Team C,1
1950,1950-09-30,15:00,San Jose,,Sunny,Team K,Team C,44.4,40.23,3.26,1.8,0,0,Draw,0
1950,1950-10-19,13:00,Stockton,,Rain,Team C,Team M,69.59,55.29,3.34,3.39,14,8,Team C,1
1950,1950-12-21,15:00,Stockton,30417.0,Cloudy,Team I,Team C,85.64,41.76,3.2,2.82,5,11,Team C,-1
1950,1950-11-19,19:00,Oakland,26692.0,Sunny,Team C,Team B,75.53,43.92,1.22,2.53,14,0,Team C,1
1950,1950-11-28,16:00,Oakland,23873.0,Snow,Team F,Team C,88.96,74.68,3.05,3.27,10,7,Team F,1
1950,1950-09-20,16:00,Stockton,22675.0,Cloudy,Team C,Team I,51.95,71.17,1.69,1.82,16,17,Team I,-1
1950,1950-09-05,15:00,Fresno,17161.0,Sunny,Team D,Team J,75.25,48.88,2.89,3.44,9,15,Team J,-1
1950,1950-09-11,15:00,Oakland,,Cloudy,Team M,Team D,70.05,65.97,3.31,2.05,7,17,Team D,-1
1950,1950-11-11,21:00,San Francisco,50763.0,Cloudy,Team D,Team O,64.04,58.87,3.09,3.11,10,3,Team D,1
1950,1950-10-16,19:00,San Francisco,,Rain,Team E,Team D,55.09,81.51,1.6,2.44,7,0,Team E,1
1950,1950-11-25,18:00,Oakland,28534.0,Sunny,Team D,Team L,75.47,72.12,1.78,2.78,9,12,Team L,-1
1950,1950-12-26,15:00,Fresno,46127.0,Rain,Team J,Team D,78.78,57.19,1.69,2.62,5,0,Team J,1
1950,1950-11-10,20:00,San Jose,42851.0,Sunny,Team D,Team L,82.19,40.15,3.35,2.59,4,6,Team L,-1
1950,1950-09-29,14:00,San Jose,,Sunny,Team L,Team D,45.98,47.06,2.46,3.34,0,2,Team D,-1
1950,1950-11-19,16:00,Santa Clara,,Cloudy,Team D,Team L,69.64,75.16,3.26,2.35,9,13,Team L,-1
1950,1950-09-12,21:00,Hill Valley,41276.0,Sunny,Team L,Team D,81.82,69.61,1.22,2.92,8,11,Team D,-1
1950,1950-11-29,19:00,Palo Alto,,Cloudy,Team D,Team N,60.99,78.69,2.29,2.75,13,11,Team D,1
1950,1950-11-28,18:00,Sacramento,41300.0,Cloudy,Team M,Team D,82.54,75.22,3.29,3.23,7,15,Team D,-1
1950,1950-11-03,20:00,Berkeley,25529.0,Mist,Team D,Team N,41.31,68.14,2.09,3.4,12,0,Team D,1
1950,1950-11-05,21:00,San Jose,34262.0,Sunny,Team M,Team D,74.83,47.2,2.15,2.8,13,11,Team M,1
1950,1950-09-02,20:00,Santa Clara,26268.0,Sunny,Team D,Team N,66.76,79.21,1.3,3.35,7,8,Team N,-1
1950,1950-09-17,15:00,Sacramento,38271.0,Sunny,Team J,Team D,73.59,56.84,2.08,1.87,5,0,Team J,1
1950,1950-09-04,12:00,Sacramento,,Cloudy,Team D,Team G,50.83,60.94,1.28,2.82,0,6,Team G,-1
1950,1950-10-26,15:00,Santa Clara,,Cloudy,Team E,Team F,46.92,60.59,3.16,2.73,7,0,Team E,1
1950,1950-09-08,15:00,Fresno,25571.0,Sunny,Team D,Team E,43.3,88.26,1.58,3.07,7,14,Team E,-1
1950,1950-11-14,15:00,San Francisco,19568.0,Mist,Team E,Team P,50.41,58.86,2.15,2.58,0,5,Team P,-1
1950,1950-09-03,21:00,Palo Alto,19027.0,Sunny,Team J,Team E,60.2,83.84,1.2,1.74,9,16,Team E,-1
1950,1950-09-14,21:00,Hill Valley,19695.0,Cloudy,Team E,Team H,66.92,87.08,2.39,1.58,1,10,Team H,-1
1950,1950-10-22,15:00,Fresno,,Rain,Team O,Team E,58.32,75.16,1.99,2.74,16,6,Team O,1
1950,1950-12-26,19:00,San Francisco,,Rain,,Team A,58.54,76.95,1.83,1.76,21,0,Team E,1
1950,1950-09-11,16:00,Palo Alto,,Cloudy,Team O,Team E,72.71,72.73,1.47,2.41,0,14,Team E,-1
1950,1950-11-26,21:00,Fresno,30986.0,Rain,Team E,Team O,48.23,59.52,1.29,1.46,2,7,Team O,-1
1950,1950-12-17,16:00,Stockton,,Mist,Team A,Team E,43.35,62.46,2.88,3.44,13,2,Team A,1
1950,1950-11-05,15:00,Palo Alto,,Sunny,Team E,Team M,87.26,76.77,2.32,3.45,2,0,Team E,1
1950,1950-11-28,15:00,Fresno,43854.0,Rain,Team J,Team E,65.75,43.15,1.44,3.21,9,10,Team E,-1
1950,1950-09-13,18:00,Hill Valley,,Sunny,Team E,Team L,47.02,67.8,3.44,2.92,3,7,Team L,-1
1950,1950-10-06,15:00,Berkeley,25392.0,Sunny,,Team E,66.25,41.26,3.28,1.48,13,5,Team H,1
1950,1950-10-02,18:00,Stockton,47535.0,Mist,Team E,Team D,45.76,61.9,1.89,3.21,11,8,Team E,1
1950,1950-11-24,21:00,Hill Valley,,Mist,Team D,Team E,89.55,73.89,2.45,2.25,15,21,Team E,-1
1950,1950-09-11,16:00,Palo Alto,,Cloudy,Team E,Team B,81.89,74.42,2.63,1.33,0,8,Team B,-1
1950,1950-09-08,15:00,Oakland,28837.0,Sunny,Team F,Team I,49.44,48.67,1.8,2.31,0,0,Draw,0
1950,1950-12-11,21:00,Hill Valley,,Mist,Team H,Team F,44.14,77.04,2.29,2.22,17,3,Team H,1
1950,1950-11-09,17:00,Palo Alto,,Sunny,Team F,Team D,41.43,47.78,1.31,3.37,4,3,Team F,1
1950,1950-11-04,13:00,Oakland,,Cloudy,Team C,Team F,69.66,52.94,3.1,2.58,20,0,Team C,1
1950,1950-11-08,12:00,Berkeley,,Cloudy,Team F,Team J,67.28,49.06,1.47,2.69,3,13,Team J,-1
1950,1950-10-16,13:00,Fresno,41538.0,Rain,Team H,Team F,76.31,50.04,1.88,2.93,5,7,Team F,-1
1950,1950-12-25,19:00,Oakland,,Sunny,Team F,Team C,76.52,45.18,3.16,2.62,9,9,Draw,0
1950,1950-09-05,20:00,Stockton,49482.0,Cloudy,Team J,Team F,83.04,84.31,1.36,3.4,5,1,Team J,1
1950,1950-11-10,16:00,Stockton,,Mist,Team F,Team I,66.67,46.59,1.45,2.92,11,2,Team F,1
1950,1950-09-13,13:00,San Francisco,30773.0,Rain,Team L,Team F,77.8,68.66,2.11,2.11,10,14,Team F,-1
1950,1950-11-08,16:00,Hill Valley,44266.0,Mist,Team F,Team I,76.76,48.11,3.02,3.05,17,6,Team F,1
1950,1950-10-09,21:00,Sacramento,34412.0,Cloudy,Team P,Team F,52.02,44.25,3.12,2.47,2,9,Team F,-1
1950,1950-10-16,17:00,Fresno,50270.0,Rain,Team F,Team H,44.2,64.71,2.44,3.42,13,0,Team F,1
1950,1950-12-23,21:00,Stockton,,Sunny,Team C,Team F,79.08,85.32,1.34,1.59,4,2,Team C,1
1950,1950-12-22,21:00,Fresno,42446.0,Rain,Team F,Team K,83.03,45.51,1.52,1.77,12,0,Team F,1
1950,1950-10-10,12:00,Berkeley,,Cloudy,Team B,Team F,74.62,84.62,1.61,2.67,16,4,Team B,1
1950,1950-11-20,20:00,Palo Alto,,Cloudy,Team F,Team L,43.87,77.9,1.22,3.08,0,16,Team L,-1
1950,1950-09-11,20:00,Palo Alto,39361.0,Sunny,Team G,Team N,51.12,54.47,1.3,1.46,0,5,Team N,-1
1950,1950-12-22,17:00,Palo Alto,,Cloudy,Team O,Team G,48.18,45.42,1.85,3.22,9,13,Team G,-1
1950,1950-09-03,15:00,Palo Alto,39403.0,Cloudy,Team G,Team E,62.98,58.5,2.32,3.22,11,6,Team G,1
1950,1950-10-29,19:00,Santa Clara,,Sunny,Team L,Team G,44.92,85.2,3.29,3.4,24,18,Team L,1
1950,1950-12-03,14:00,San Francisco,31820.0,Sunny,Team G,Team N,49.28,79.33,2.56,3.32,2,0,Team G,1
1950,1950-10-20,16:00,Berkeley,23374.0,Sunny,Team O,Team G,65.16,78.31,2.33,1.45,18,0,Team O,1
1950,1950-10-28,16:00,Palo Alto,18678.0,Mist,Team G,Team D,76.56,46.94,2.59,1.73,7,8,Team D,-1
1950,1950-11-04,21:00,Hill Valley,50827.0,Mist,Team B,Team G,65.34,79.76,3.05,2.8,7,13,Team G,-1
1950,1950-10-24,21:00,San Francisco,33198.0,Mist,Team G,Team J,63.94,40.97,1.31,2.18,9,1,Team G,1
1950,1950-10-29,15:00,Fresno,26914.0,Mist,Team A,Team G,55.95,75.73,1.63,2.13,2,6,Team G,-1
1950,1950-12-28,17:00,Sacramento,,Mist,Team G,Team O,75.82,83.19,3.11,2.11,8,0,Team G,1
1950,1950-11-09,15:00,San Francisco,39299.0,Mist,Team D,Team G,68.32,52.55,3.01,3.45,10,4,Team D,1
1950,1950-10-27,21:00,Hill Valley,,Sunny,Team G,Team N,76.35,80.67,3.12,1.74,8,1,Team G,1
1950,1950-12-10,21:00,Santa Clara,,Mist,Team K,Team G,68.57,53.34,2.02,3.25,5,9,Team G,-1
1950,1950-12-05,15:00,Hill Valley,,Rain,Team G,Team F,42.55,87.46,2.44,3.19,3,7,Team F,-1
1950,1950-12-22,19:00,Hill Valley,,Sunny,Team L,Team G,86.54,51.05,3.33,2.74,4,7,Team G,-1
1950,1950-11-12,18:00,Santa Clara,42939.0,Sunny,Team G,Team D,73.92,47.08,1.29,2.11,20,5,Team G,1
1950,1950-11-20,14:00,Santa Clara,38834.0,Cloudy,Team H,Team N,89.81,52.84,1.29,1.95,7,15,Team N,-1
1950,1950-09-24,20:00,Fresno,35047.0,Mist,Team M,Team H,62.68,61.05,1.74,2.44,3,3,Draw,0
1950,1950-12-05,17:00,Fresno,43105.0,Rain,Team H,Team N,54.25,41.71,3.36,1.36,1,2,Team N,-1
1950,1950-11-01,20:00,Sacramento,,Cloudy,Team O,Team H,74.95,66.41,2.71,2.44,9,5,Team O,1
1950,1950-09-09,17:00,Oakland,,Sunny,Team H,Team F,73.31,41.88,3.39,2.53,6,3,Team H,1
1950,1950-10-09,12:00,Berkeley,,Sunny,Team K,Team H,83.55,68.35,2.92,2.41,15,19,Team H,-1
1950,1950-10-12,15:00,Fresno,40776.0,Mist,Team H,Team K,50.27,86.67,3.4,1.76,4,2,Team H,1
1950,1950-11-23,12:00,Palo Alto,,Cloudy,Team J,Team H,87.05,45.41,2.47,1.43,0,10,Team H,-1
1950,1950-09-04,21:00,Berkeley,18306.0,Cloudy,Team H,Team P,62.27,67.15,1.36,2.32,4,3,Team H,1
1950,1950-10-15,21:00,Fresno,23776.0,Rain,Team K,Team H,55.74,50.1,3.17,1.87,6,23,Team H,-1
1950,1950-12-11,20:00,Berkeley,44251.0,Cloudy,Team H,Team K,48.07,53.55,2.02,2.62,3,17,Team K,-1
1950,1950-09-21,15:00,Sacramento,26474.0,Sunny,Team N,Team H,81.68,68.24,3.44,3.01,9,9,Draw,0
1950,1950-09-18,13:00,Santa Clara,38959.0,Sunny,Team H,Team O,78.2,70.08,1.74,1.58,0,10,Team O,-1
1950,1950-11-17,21:00,San Jose,,Sunny,Team L,Team H,70.24,59.1,1.49,2.32,9,0,Team L,1
1950,1950-10-17,21:00,Fresno,,Rain,Team H,Team E,77.47,55.31,2.75,2.16,0,0,Draw,0
1950,1950-12-18,13:00,Berkeley,20748.0,Cloudy,Team C,Team H,58.61,72.69,1.55,2.56,2,3,Team H,-1
1950,1950-12-24,16:00,San Francisco,48968.0,Mist,Team H,Team E,86.87,74.2,2.12,3.26,6,0,Team H,1
1950,1950-10-27,13:00,Hill Valley,49562.0,Sunny,Team I,Team D,54.28,58.81,2.53,3.29,2,0,Team I,1
1950,1950-11-12,20:00,Stockton,,Mist,Team K,Team I,45.86,62.42,1.6,2.58,14,6,Team K,1
1950,1950-10-29,20:00,Oakland,17663.0,Sunny,Team I,Team J,70.5,51.1,2.53,3.32,0,10,Team J,-1
1950,1950-10-07,14:00,Stockton,,Rain,Team G,Team I,74.87,74.97,2.35,2.45,1,1,Draw,0
1950,1950-12-04,16:00,Hill Valley,,Rain,Team I,Team A,68.72,73.79,1.24,3.28,9,4,Team I,1
1950,1950-10-21,17:00,Stockton,,Rain,Team C,Team I,74.24,75.27,1.55,3.23,1,1,Draw,0
1950,1950-09-25,15:00,Sacramento,,Sunny,Team I,Team F,71.88,78.45,2.87,1.56,11,0,Team I,1
1950,1950-10-15,21:00,Berkeley,,Sunny,Team N,Team I,61.89,61.0,2.71,1.74,8,4,Team N,1
1950,1950-12-17,16:00,Santa Clara,,Mist,Team I,Team M,54.97,56.53,2.59,3.42,3,3,Draw,0
1950,1950-09-12,15:00,Santa Clara,40938.0,Sunny,Team F,Team I,62.8,50.4,2.8,2.52,11,15,Team I,-1
1950,1950-09-02,17:00,Sacramento,40664.0,Sunny,Team I,Team K,78.31,84.09,2.43,3.37,11,19,Team K,-1
1950,1950-10-26,20:00,Sacramento,18636.0,Sunny,Team H,Team I,41.54,62.96,3.18,2.81,11,0,Team H,1
1950,1950-12-27,15:00,Stockton,37080.0,Cloudy,Team I,Team M,72.35,63.4,2.46,1.72,11,4,Team I,1
1950,1950-10-20,15:00,Berkeley,44728.0,Sunny,Team O,Team I,45.03,89.24,2.19,2.39,0,6,Team I,-1
1950,1950-10-02,21:00,San Jose,,Sunny,Team I,Team N,61.85,62.32,2.78,2.81,1,6,Team N,-1
1950,1950-10-31,19:00,Santa Clara,,Cloudy,Team O,Team I,75.22,51.21,1.5,3.21,5,16,Team I,-1
1950,1950-09-15,16:00,Hill Valley,17854.0,Sunny,Team I,Team E,60.05,55.59,2.94,2.83,9,2,Team I,1
1950,1950-09-05,17:00,Hill Valley,,Cloudy,Team J,Team A,74.73,73.31,1.86,2.22,0,15,Team A,-1
1950,1950-12-16,14:00,Stockton,24392.0,Mist,Team K,Team J,89.71,79.63,2.47,2.6,11,10,Team K,1
1950,1950-10-06,15:00,Santa Clara,38556.0,Cloudy,Team J,Team P,80.31,60.03,2.68,2.55,8,12,Team P,-1
1950,1950-09-17,16:00,Berkeley,43309.0,Cloudy,Team O,Team J,44.85,88.76,1.75,1.37,13,4,Team O,1
1950,1950-09-07,18:00,Sacramento,38919.0,Sunny,Team J,Team C,44.73,65.29,1.29,3.42,0,0,Draw,0
1950,1950-11-06,15:00,San Jose,21931.0,Cloudy,Team M,Team J,66.28,84.98,1.75,1.47,11,2,Team M,1
1950,1950-11-28,15:00,Sacramento,,Sunny,Team J,Team P,61.51,65.86,1.85,2.51,13,0,Team J,1
1950,1950-11-05,13:00,Oakland,29688.0,Sunny,Team A,Team J,68.35,83.78,2.65,3.1,1,0,Team A,1
1950,1950-11-13,19:00,Santa Clara,,Sunny,Team J,Team L,64.26,45.01,2.06,2.81,0,8,Team L,-1
1950,1950-12-06,15:00,Stockton,19327.0,Rain,Team A,Team J,80.32,68.42,1.69,2.28,13,1,Team A,1
1950,1950-10-07,21:00,San Jose,17197.0,Sunny,Team J,Team G,58.52,79.79,1.38,3.26,10,5,Team J,1
1950,1950-12-09,21:00,Berkeley,,Cloudy,Team L,Team J,57.69,73.51,3.3,2.95,0,7,Team J,-1
1950,1950-11-15,13:00,Stockton,51698.0,Mist,Team J,Team O,81.99,74.0,1.63,3.21,17,0,Team J,1
1950,1950-12-21,15:00,Sacramento,,Cloudy,Team D,Team J,49.97,54.45,1.46,1.58,1,27,Team J,-1
1950,1950-12-08,20:00,Berkeley,,Cloudy,Team J,Team O,82.99,86.79,3.27,1.6,11,6,Team J,1
1950,1950-11-04,15:00,San Jose,42184.0,Sunny,Team M,Team J,79.75,82.79,1.72,1.83,2,14,Team J,-1
1950,1950-12-15,14:00,Sacramento,,Rain,Team J,Team G,40.83,49.71,1.38,2.62,2,13,Team G,-1
1950,1950-09-08,21:00,Fresno,,Sunny,Team K,Team P,86.97,40.58,1.69,1.25,13,0,Team K,1
1950,1950-12-01,18:00,Oakland,,Cloudy,Team M,Team K,66.48,44.7,1.46,1.67,5,3,Team M,1
1950,1950-12-13,16:00,Fresno,43370.0,Rain,Team K,Team E,89.95,77.84,2.58,2.64,7,8,Team E,-1
1950,1950-12-02,20:00,Oakland,,Sunny,Team B,Team K,73.96,63.12,1.93,3.08,2,0,Team B,1
1950,1950-12-16,20:00,Berkeley,,Cloudy,Team K,Team L,87.13,46.32,2.87,3.48,0,0,Draw,0
1950,1950-10-22,15:00,Sacramento,51754.0,Cloudy,Team A,Team K,88.86,40.73,2.58,3.3,9,0,Team A,1
1950,1950-09-03,13:00,San Jose,,Mist,Team K,Team L,40.73,68.88,2.08,2.43,0,0,Draw,0
1950,1950-12-25,16:00,San Francisco,,Mist,Team G,Team K,81.21,74.72,2.35,3.42,9,1,Team G,1
1950,1950-11-14,16:00,Oakland,19911.0,Sunny,Team K,Team N,54.36,60.38,1.79,3.33,1,1,Draw,0
1950,1950-12-04,16:00,Oakland,18734.0,Cloudy,Team G,Team K,61.3,41.87,2.4,2.95,9,0,Team G,1
1950,1950-10-21,20:00,Sacramento,35227.0,Cloudy,Team K,Team C,88.71,73.84,2.39,1.52,10,0,Team K,1
1950,1950-11-10,20:00,Oakland,,Cloudy,Team N,Team K,69.95,87.21,3.46,2.35,3,4,Team K,-1
1950,1950-11-03,21:00,Fresno,36360.0,Rain,Team K,Team L,88.06,58.55,2.48,3.31,13,0,Team K,1
1950,1950-11-24,13:00,Santa Clara,35343.0,Mist,Team J,Team K,46.3,65.54,1.29,3.22,4,8,Team K,-1
1950,1950-09-24,16:00,Palo Alto,,Sunny,Team K,Team A,56.71,82.9,1.39,1.2,7,16,Team A,-1
1950,1950-10-29,16:00,Santa Clara,,Sunny,Team A,Team K,45.66,47.7,2.69,1.71,1,10,Team K,-1
1950,1950-12-22,21:00,Santa Clara,28111.0,Rain,Team K,Team M,46.87,40.52,2.05,1.84,0,13,Team M,-1
1950,1950-09-07,15:00,Sacramento,18802.0,Cloudy,Team L,Team O,55.89,46.6,1.5,2.62,4,12,Team O,-1
1950,1950-11-17,15:00,Stockton,25155.0,Mist,Team K,Team L,66.69,68.65,2.16,2.99,1,1,Draw,0
1950,1950-09-21,16:00,San Francisco,25120.0,Rain,Team L,Team E,41.23,66.9,3.09,2.01,7,3,Team L,1
1950,1950-10-30,16:00,Stockton,38918.0,Sunny,Team B,Team L,56.57,67.87,2.99,1.34,11,4,Team B,1
1950,1950-10-28,15:00,Berkeley,37445.0,Mist,Team L,Team P,53.84,40.12,2.75,2.53,11,2,Team L,1
1950,1950-12-02,15:00,Santa Clara,,Rain,Team A,Team L,55.62,44.57,2.3,1.68,9,6,Team A,1
1950,1950-11-22,21:00,Sacramento,,Sunny,Team L,Team I,48.51,57.93,1.94,2.29,0,4,Team I,-1
1950,1950-10-15,16:00,Fresno,48065.0,Rain,Team D,Team L,48.51,43.83,1.96,2.14,0,0,Draw,0
1950,1950-11-23,21:00,Palo Alto,42199.0,Sunny,Team L,Team O,49.7,63.72,2.07,2.26,0,6,Team O,-1
1950,1950-10-17,17:00,Santa Clara,33371.0,Sunny,Team A,Team L,62.92,71.73,3.18,3.46,3,19,Team L,-1
1950,1950-11-11,12:00,Hill Valley,28835.0,Sunny,Team L,Team P,85.05,60.92,2.23,2.08,2,21,Team P,-1
1950,1950-10-08,21:00,San Francisco,19049.0,Rain,Team M,Team L,53.34,85.39,2.85,2.69,0,11,Team L,-1
1950,1950-11-17,21:00,Sacramento,,Cloudy,Team L,Team M,61.74,62.51,1.95,2.25,0,0,Draw,0
1950,1950-10-15,21:00,Berkeley,37932.0,Sunny,Team B,Team L,50.01,42.07,3.26,2.54,0,8,Team L,-1
1950,1950-10-05,21:00,Santa Clara,,Sunny,Team L,Team P,85.95,72.49,2.98,1.97,14,5,Team L,1
1950,1950-12-25,21:00,Berkeley,,Sunny,Team E,Team L,41.6,40.23,3.1,1.38,0,13,Team L,-1
1950,1950-09-26,14:00,San Francisco,,Rain,Team L,Team C,76.3,77.36,1.29,2.27,3,3,Draw,0
1950,1950-11-03,16:00,Stockton,32151.0,Mist,Team M,Team F,58.62,40.93,3.03,1.81,0,12,Team F,-1
1950,1950-11-16,15:00,Oakland,18154.0,Sunny,Team B,Team M,46.83,43.23,1.42,3.1,0,13,Team M,-1
1950,1950-10-08,16:00,Oakland,,Sunny,Team M,Team O,69.47,86.99,3.07,3.34,7,11,Team O,-1
1950,1950-09-10,13:00,Santa Clara,,Cloudy,Team K,Team M,53.11,57.63,1.32,2.61,7,0,Team K,1
1950,1950-10-15,16:00,Sacramento,29183.0,Sunny,Team M,Team D,78.46,75.54,2.72,2.58,18,10,Team M,1
1950,1950-09-03,21:00,Oakland,46299.0,Sunny,,Team M,48.21,77.99,2.15,1.83,6,7,Team M,-1
1950,1950-10-19,15:00,Palo Alto,29874.0,Sunny,Team M,Team O,62.48,44.75,1.38,2.18,1,0,Team M,1
1950,1950-09-22,20:00,Stockton,49711.0,Sunny,Team I,Team M,40.8,69.11,1.75,2.03,10,8,Team I,1
1950,1950-10-02,16:00,Stockton,22539.0,Mist,Team M,Team A,58.62,77.65,1.95,3.33,6,4,Team M,1
1950,1950-12-14,16:00,Hill Valley,,Mist,Team A,Team M,89.3,43.57,1.82,2.04,11,3,Team A,1
1950,1950-10-01,21:00,Palo Alto,,Sunny,Team M,Team G,50.47,55.58,2.17,1.47,9,0,Team M,1
1950,1950-10-29,21:00,Berkeley,,Mist,Team E,Team M,74.66,65.71,1.47,2.65,5,1,Team E,1
1950,1950-12-02,18:00,Palo Alto,19961.0,Cloudy,Team M,Team A,67.16,88.25,1.42,3.37,5,13,Team A,-1
1950,1950-10-15,20:00,Fresno,,Rain,Team B,Team M,86.91,54.4,3.32,1.28,2,7,Team M,-1
1950,1950-10-28,14:00,Fresno,28969.0,Rain,Team M,Team D,62.31,67.58,2.3,2.2,4,13,Team D,-1
1950,1950-09-25,15:00,Palo Alto,,Cloudy,Team C,Team M,54.8,61.59,1.36,2.21,13,0,Team C,1
1950,1950-10-15,21:00,Santa Clara,45643.0,Sunny,Team M,Team K,76.01,89.98,1.44,2.83,8,3,Team M,1
